Kategorie;Produkt;Haendler;Preis_EUR;Hinweis;Gueltig_bis
Softdrinks;Coca-Cola / Fanta / Mezzo Mix / Sprite (2 l);Lidl;1,29;versch. Sorten, zzgl. 0,25 Pfand;13.06.2026
Softdrinks;Coca-Cola / Fanta / Sprite (1,5 l);Thomas Philipps;0,99;koffeinhaltig, zzgl. 0,25 Pfand;13.06.2026
Softdrinks;Coca-Cola / Fanta / Sprite (0,33 l);Thomas Philipps;0,49;koffeinhaltig, zzgl. 0,25 Pfand;13.06.2026
Softdrinks;Fanta / Sprite (mit Penny App);PENNY;0,99;Aktionspreis nur mit App;13.06.2026
Softdrinks;Cola / Fanta (GROSSHANDEL);Handelshof;0,69;nur fuer Grosshaendler;10.06.2026
Softdrinks;Coca-Cola Zero (Kasten 6 x 1 l);trinkgut;7,99;zzgl. Pfand;13.06.2026
Softdrinks;Coca-Cola Zero (Pack 12 x 0,5 l);trinkgut;9,99;zzgl. Pfand;13.06.2026
Alkohol;Bier (6 x 0,5 l, 5+1 gratis);Lidl;4,25;zzgl. 1,50 Pfand;20.06.2026
Alkohol;Bier (6 x 0,5 l);Netto Marken-Discount;3,99;zzgl. 1,50 Pfand;13.06.2026
Alkohol;Bier (Kasten 20 x 0,5 l);Netto Marken-Discount;12,99;zzgl. 3,10 Pfand;13.06.2026
Alkohol;Bier (Kasten, mit Kaufland Card);Kaufland;9,99;Aktionspreis, zzgl. 3,10 Pfand;10.06.2026
Alkohol;Bier 0,5 l Flasche;PENNY;0,79;versch. Sorten, zzgl. 0,25 Pfand;13.06.2026
Alkohol;Jaegermeister (0,7 l, 35% vol);PENNY;14,99;;13.06.2026
Alkohol;Wodka (0,7 l, 37,5% vol, mit Lidl Plus);Lidl;6,49;Aktionspreis;13.06.2026
Alkohol;Wodka (0,7 l, 37,5% vol);Netto Marken-Discount;5,49;;13.06.2026
Alkohol;Wodka (1 l, 40% vol, GROSSHANDEL);Handelshof;15,99;nur fuer Grosshaendler;30.06.2026
Alkohol;Aperol / Likoer 20% (12 x 0,02 l);REWE Dortmund;5,99;;13.06.2026
Gemuese;Tomaten lose (NL/BE/HU/PL, Kl. I);Lidl;1,25;je kg;13.06.2026
Gemuese;Strauchtomaten deutsch (650 g, Kl. I);Lidl;1,99;;20.06.2026
Gemuese;Rispentomaten (1 kg, NL, Kl. I);Netto Marken-Discount;1,11;;13.06.2026
Gemuese;Zwiebeln rot (1 kg Netz, Aegypten);Netto Marken-Discount;1,39;;13.06.2026
Gemuese;Zwiebeln (500 g Netz, Kl. I);REWE Dortmund;0,88;;13.06.2026
Gemuese;Lauchzwiebeln deutsch (Bund);Lidl;0,79;;20.06.2026
Gemuese;Paprika (500 g, NL/ES, Kl. I);Netto Marken-Discount;1,45;;13.06.2026
Gemuese;Paprika (500 g Pckg., Kl. I);PENNY;1,29;;13.06.2026
Gemuese;Spitzpaprika Mix deutsch (350 g);Lidl;2,99;;20.06.2026
Gemuese;Salatgurke (Stueck, ES, Kl. I);Lidl;0,59;;13.06.2026
Gemuese;Salatgurke (Stueck, NL, Kl. I);Netto Marken-Discount;0,59;;13.06.2026
Gemuese;Salat Kopf (Stueck, DE, Kl. I);Netto Marken-Discount;0,65;;13.06.2026
Gemuese;Salat (Stueck, Kl. I);PENNY;0,69;;13.06.2026
